assignee,Integration Name,Support Level,Provider,Auth Class,Auth Detail,auth params set,script inputs,params required for test,generated manifest,wrote code,validations passed,unit tests passed,param parity test passes,requires auth parity test,auth parity test passes,code reviewed,code merged
,Palo Alto Networks IoT,xsoar,Palo Alto Networks,"APIKey(access_key_id, secret_access_key) | Plain(credentials, tenant_id) — REQUIRED(Plain) + OPTIONAL(APIKey)","{""auth_types"":[{""type"":""APIKey"",""name"":""access_key_id""},{""type"":""APIKey"",""name"":""secret_access_key""},{""type"":""Plain"",""name"":""credentials""},{""type"":""Plain"",""name"":""tenant_id""}],""config"":""REQUIRED(Plain) + OPTIONAL(APIKey)"",""params"":{""tenant_id"":{""type"":""Plain"",""xsoar_type"":0,""required"":true},""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""access_key_id"":{""type"":""APIKey"",""xsoar_type"":0,""required"":false},""secret_access_key"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false}},""notes"":null}",,,,,,,,,,,,
,Palo Alto Networks Security Advisories,xsoar,Palo Alto Networks,NoneRequired,"{""auth_types"":[],""config"":""NONE"",""params"":{},""notes"":null}",,,,,,,,,,,,
,Palo Alto Networks Threat Vault v2,xsoar,Palo Alto Networks,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Palo Alto Networks Threat Vault v2 Feed,xsoar,Palo Alto Networks,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,PaloAltoNetworks_PrismaCloudCompute,xsoar,Palo Alto Networks,"Plain(certificate, credentials) — REQUIRED(Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""certificate""},{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true},""certificate"":{""type"":""Plain"",""xsoar_type"":12,""required"":false}},""notes"":null}",,,,,,,,,,,,
,Panorama,xsoar,Palo Alto Networks,"APIKey(key) | Plain(credentials) — CHOICE(APIKey, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""key""},{""type"":""Plain"",""name"":""credentials""}],""config"":""CHOICE(APIKey, OAuth2AuthCode, Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""key"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false}},""notes"":""OAuth2AuthCode detected in code but no explicit params""}",,,,,,,,,,,,
,PATHelpdeskAdvanced,xsoar,PATServicesLTD,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain) + OPTIONAL(OAuth2ClientCreds)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":""OAuth2ClientCreds detected in code but no explicit params""}",,,,,,,,,,,,
,Penfield,partner,PenfieldAI,APIKey(apikey) — REQUIRED(APIKey),"{""auth_types"":[{""type"":""APIKey"",""name"":""apikey""}],""config"":""REQUIRED(APIKey)"",""params"":{""apikey"":{""type"":""APIKey"",""xsoar_type"":4,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Pentera,partner,Pentera,APIKey(tgt) | Plain(clientId) — REQUIRED(APIKey) + REQUIRED(Plain),"{""auth_types"":[{""type"":""APIKey"",""name"":""tgt""},{""type"":""Plain"",""name"":""clientId""}],""config"":""REQUIRED(APIKey) + REQUIRED(Plain) + OPTIONAL(OAuth2ClientCreds)"",""params"":{""clientId"":{""type"":""Plain"",""xsoar_type"":0,""required"":true},""tgt"":{""type"":""APIKey"",""xsoar_type"":4,""required"":true}},""notes"":""OAuth2ClientCreds detected in code but no explicit params""}",,,,,,,,,,,,
,PerceptionPoint,partner,Fortinet,Plain(pp_token) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""pp_token""}],""config"":""REQUIRED(Plain)"",""params"":{""pp_token"":{""type"":""Plain"",""xsoar_type"":4,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Perch,xsoar,Razor Group,"APIKey(api-key) | Plain(api-key_creds, credentials) — CHOICE(APIKey, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""api-key""},{""type"":""Plain"",""name"":""api-key_creds""},{""type"":""Plain"",""name"":""credentials""}],""config"":""CHOICE(APIKey, OAuth2ClientCreds, Plain)"",""params"":{""api-key"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false},""api-key_creds"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":""OAuth2ClientCreds detected in code but no explicit params""}",,,,,,,,,,,,
,Phisher,partner,Vista Equity Partners,Plain(apikey) — OPTIONAL(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""apikey""}],""config"":""OPTIONAL(Plain)"",""params"":{""apikey"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":null}",,,,,,,,,,,,
,PhishLabs IOC,xsoar,Fortra,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,PhishLabs IOC DRP,xsoar,Fortra,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,PhishLabs IOC EIR,xsoar,Fortra,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,PhishTank V2,xsoar,Open Source,Plain(username) — OPTIONAL(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""username""}],""config"":""OPTIONAL(Plain)"",""params"":{""username"":{""type"":""Plain"",""xsoar_type"":0,""required"":false}},""notes"":null}",,,,,,,,,,,,
,Picus,partner,Picus Security,APIKey(picus_apikey) — REQUIRED(APIKey),"{""auth_types"":[{""type"":""APIKey"",""name"":""picus_apikey""}],""config"":""REQUIRED(APIKey) + OPTIONAL(OAuth2ClientCreds)"",""params"":{""picus_apikey"":{""type"":""APIKey"",""xsoar_type"":4,""required"":true}},""notes"":""OAuth2ClientCreds detected in code but no explicit params""}",,,,,,,,,,,,
,PicusNG,partner,Picus Security,APIKey(picus_apikey) — REQUIRED(APIKey),"{""auth_types"":[{""type"":""APIKey"",""name"":""picus_apikey""}],""config"":""REQUIRED(APIKey) + OPTIONAL(OAuth2ClientCreds)"",""params"":{""picus_apikey"":{""type"":""APIKey"",""xsoar_type"":4,""required"":true}},""notes"":""OAuth2ClientCreds detected in code but no explicit params""}",,,,,,,,,,,,
,PingOne,partner,Thoma Bravo,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain) + OPTIONAL(OAuth2ClientCreds)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":""OAuth2ClientCreds detected in code but no explicit params""}",,,,,,,,,,,,
,Pipl,xsoar,Pipl,"APIKey(key) | Plain(credentials_api_key) — CHOICE(APIKey, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""key""},{""type"":""Plain"",""name"":""credentials_api_key""}],""config"":""CHOICE(APIKey, Plain)"",""params"":{""key"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false},""credentials_api_key"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":null}",,,,,,,,,,,,
,Plain Text Feed,xsoar,Open Source,Plain(credentials) — OPTIONAL(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""OPTIONAL(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":null}",,,,,,,,,,,,
,PolySwarmV2,partner,PolySwarm,APIKey(api_key) — REQUIRED(APIKey),"{""auth_types"":[{""type"":""APIKey"",""name"":""api_key""}],""config"":""REQUIRED(APIKey)"",""params"":{""api_key"":{""type"":""APIKey"",""xsoar_type"":4,""required"":true}},""notes"":null}",,,,,,,,,,,,
,PowerShell Remoting,xsoar,Microsoft,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Prisma Access,xsoar,Palo Alto Networks,"APIKey(key) | Plain(Username, credentials_key) — CHOICE(APIKey, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""key""},{""type"":""Plain"",""name"":""Username""},{""type"":""Plain"",""name"":""credentials_key""}],""config"":""CHOICE(APIKey, Plain)"",""params"":{""key"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false},""credentials_key"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""Username"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":null}",,,,,,,,,,,,
,Prisma Access Egress IP feed,xsoar,Palo Alto Networks,"APIKey(api_key) | Plain(credentials) — CHOICE(APIKey, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""api_key""},{""type"":""Plain"",""name"":""credentials""}],""config"":""CHOICE(APIKey, Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""api_key"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false}},""notes"":null}",,,,,,,,,,,,
,PrismaCloud IAM,xsoar,Palo Alto Networks,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,PrismaCloud v2,xsoar,Palo Alto Networks,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Proofpoint Email Security Event Collector,xsoar,Thoma Bravo,Plain(api_key) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""api_key""}],""config"":""REQUIRED(Plain)"",""params"":{""api_key"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Proofpoint Protection Server v2,xsoar,Thoma Bravo,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Proofpoint Server Protection,xsoar,Thoma Bravo,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Proofpoint TAP v2,xsoar,Thoma Bravo,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Proofpoint Threat Protection,xsoar,Thoma Bravo,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain) + OPTIONAL(OAuth2ClientCreds)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":""OAuth2ClientCreds detected in code but no explicit params""}",,,,,,,,,,,,
,Proofpoint Threat Response,xsoar,Thoma Bravo,"APIKey(apikey) | Plain(credentials) — CHOICE(APIKey, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""apikey""},{""type"":""Plain"",""name"":""credentials""}],""config"":""CHOICE(APIKey, Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""apikey"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false}},""notes"":null}",,,,,,,,,,,,
,ProofpointFeed,xsoar,Thoma Bravo,"OAuth2AuthCode(auth_code) | Plain(credentials_auth_code) — CHOICE(OAuth2AuthCode, Plain)","{""auth_types"":[{""type"":""OAuth2AuthCode"",""name"":""auth_code""},{""type"":""Plain"",""name"":""credentials_auth_code""}],""config"":""CHOICE(OAuth2AuthCode, Plain)"",""params"":{""auth_code"":{""type"":""OAuth2AuthCode"",""xsoar_type"":4,""required"":false},""credentials_auth_code"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":null}",,,,,,,,,,,,
,ProofpointIsolationEventCollector,xsoar,Thoma Bravo,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,ProofpointThreatResponseEventCollector,xsoar,Thoma Bravo,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,ProtectWise,xsoar,Verizon Communications,"Plain(credentials_api_token, credentials_login, password, token) — OPTIONAL(Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""credentials_api_token""},{""type"":""Plain"",""name"":""credentials_login""},{""type"":""Plain"",""name"":""password""},{""type"":""Plain"",""name"":""token""}],""config"":""OPTIONAL(Plain)"",""params"":{""password"":{""type"":""Plain"",""xsoar_type"":4,""required"":false},""credentials_login"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""token"":{""type"":""Plain"",""xsoar_type"":4,""required"":false},""credentials_api_token"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":null}",,,,,,,,,,,,
,Public DNS Feed,xsoar,Open Source,NoneRequired,"{""auth_types"":[],""config"":""NONE"",""params"":{},""notes"":null}",,,,,,,,,,,,
,QintelPMI,partner,Qintel,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,QintelQSentry,partner,Qintel,Plain(token) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""token""}],""config"":""REQUIRED(Plain)"",""params"":{""token"":{""type"":""Plain"",""xsoar_type"":4,""required"":true}},""notes"":null}",,,,,,,,,,,,
,QintelQWatch,partner,Qintel,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,QRadar v3,xsoar,Palo Alto Networks,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,QSS,partner,Open Source,APIKey(apikey) — REQUIRED(APIKey),"{""auth_types"":[{""type"":""APIKey"",""name"":""apikey""}],""config"":""REQUIRED(APIKey)"",""params"":{""apikey"":{""type"":""APIKey"",""xsoar_type"":4,""required"":true}},""notes"":null}",,,,,,,,,,,,
,qualys_fim,xsoar,Qualys,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain) + OPTIONAL(OAuth2ClientCreds)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":""OAuth2ClientCreds detected in code but no explicit params""}",,,,,,,,,,,,
,QualysV2,xsoar,Qualys,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Query.AI,partner,QueryAI Inc.,APIKey(api_token) — REQUIRED(APIKey),"{""auth_types"":[{""type"":""APIKey"",""name"":""api_token""}],""config"":""REQUIRED(APIKey)"",""params"":{""api_token"":{""type"":""APIKey"",""xsoar_type"":4,""required"":true}},""notes"":null}",,,,,,,,,,,,
,QuestKace,xsoar,Quest Software,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,QutteraWebsiteMalwareScanner,partner,Quttera,APIKey(apikey) — REQUIRED(APIKey),"{""auth_types"":[{""type"":""APIKey"",""name"":""apikey""}],""config"":""REQUIRED(APIKey)"",""params"":{""apikey"":{""type"":""APIKey"",""xsoar_type"":4,""required"":true}},""notes"":null}",,,,,,,,,,,,
,RaDark,partner,KELA,APIKey(api_key) — REQUIRED(APIKey),"{""auth_types"":[{""type"":""APIKey"",""name"":""api_key""}],""config"":""REQUIRED(APIKey)"",""params"":{""api_key"":{""type"":""APIKey"",""xsoar_type"":4,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Radware Cloud DDoS Protection Services,xsoar,Radware,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Rapid7 InsightIDR,xsoar,Rapid7,"APIKey(apiKey) | Plain(apikey_creds) — CHOICE(APIKey, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""apiKey""},{""type"":""Plain"",""name"":""apikey_creds""}],""config"":""CHOICE(APIKey, Plain)"",""params"":{""apiKey"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false},""apikey_creds"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":null}",,,,,,,,,,,,
,Rapid7 Nexpose,xsoar,Rapid7,"Plain(credentials, token) — REQUIRED(Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""credentials""},{""type"":""Plain"",""name"":""token""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true},""token"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":null}",,,,,,,,,,,,
,rapid7_threat_command,partner,Rapid7,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,rapid7appsec,xsoar,Rapid7,Plain(api_key) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""api_key""}],""config"":""REQUIRED(Plain)"",""params"":{""api_key"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Rasterize,xsoar,Open Source,NoneRequired,"{""auth_types"":[],""config"":""NONE"",""params"":{},""notes"":null}",,,,,,,,,,,,
,RDAP,xsoar,Open Source,NoneRequired,"{""auth_types"":[],""config"":""NONE"",""params"":{},""notes"":null}",,,,,,,,,,,,
,Reco,partner,Reco AI,APIKey(api_token) — REQUIRED(APIKey),"{""auth_types"":[{""type"":""APIKey"",""name"":""api_token""}],""config"":""REQUIRED(APIKey) + OPTIONAL(OAuth2ClientCreds)"",""params"":{""api_token"":{""type"":""APIKey"",""xsoar_type"":4,""required"":true}},""notes"":""OAuth2ClientCreds detected in code but no explicit params""}",,,,,,,,,,,,
,Recorded Future Feed,xsoar,Mastercard,"APIKey(api_token) | Plain(credentials_api_token) — CHOICE(APIKey, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""api_token""},{""type"":""Plain"",""name"":""credentials_api_token""}],""config"":""CHOICE(APIKey, Plain)"",""params"":{""api_token"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false},""credentials_api_token"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":null}",,,,,,,,,,,,
,Recorded Future Identity,partner,Mastercard,"Plain(credential, token) — OPTIONAL(Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""credential""},{""type"":""Plain"",""name"":""token""}],""config"":""OPTIONAL(Plain)"",""params"":{""token"":{""type"":""Plain"",""xsoar_type"":4,""required"":false},""credential"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":null}",,,,,,,,,,,,
,Recorded Future v2,partner,Mastercard,"Plain(token, token_credential) — OPTIONAL(Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""token""},{""type"":""Plain"",""name"":""token_credential""}],""config"":""OPTIONAL(Plain)"",""params"":{""token"":{""type"":""Plain"",""xsoar_type"":4,""required"":false},""token_credential"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":null}",,,,,,,,,,,,
,RecordedFutureAlerts,partner,Mastercard,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,RecordedFutureASI,partner,Mastercard,"APIKey(apikey, project_id) | Plain(credentials) — REQUIRED(APIKey) + OPTIONAL(Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""apikey""},{""type"":""APIKey"",""name"":""project_id""},{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(APIKey) + OPTIONAL(Plain)"",""params"":{""apikey"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false},""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""project_id"":{""type"":""APIKey"",""xsoar_type"":4,""required"":true}},""notes"":null}",,,,,,,,,,,,
,RecordedFutureEventCollector,partner,Mastercard,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,RecordedFutureLists,partner,Mastercard,Plain(token) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""token""}],""config"":""REQUIRED(Plain)"",""params"":{""token"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,RecordedFuturePlaybookAlerts,partner,Mastercard,Plain(token) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""token""}],""config"":""REQUIRED(Plain)"",""params"":{""token"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,RedCanary,xsoar,Zscaler,"APIKey(api_key) | Plain(api_key_creds) — CHOICE(APIKey, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""api_key""},{""type"":""Plain"",""name"":""api_key_creds""}],""config"":""CHOICE(APIKey, Plain)"",""params"":{""api_key"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false},""api_key_creds"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":null}",,,,,,,,,,,,
,RedLock,xsoar,Palo Alto Networks,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Redmine,xsoar,Open Source,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,ReliaQuest GreyMatter DRP Event Collector,partner,ReliaQuest,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,ReliaQuest GreyMatter DRP Incidents,partner,ReliaQuest,"Plain(apiKey, apiSecret) — REQUIRED(Plain, Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""apiKey""},{""type"":""Plain"",""name"":""apiSecret""}],""config"":""REQUIRED(Plain, Plain)"",""params"":{""apiKey"":{""type"":""Plain"",""xsoar_type"":9,""required"":true},""apiSecret"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,ReliaquestTakedown,partner,ReliaQuest,"Plain(apiKey, apiSecret) — REQUIRED(Plain, Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""apiKey""},{""type"":""Plain"",""name"":""apiSecret""}],""config"":""REQUIRED(Plain, Plain)"",""params"":{""apiKey"":{""type"":""Plain"",""xsoar_type"":9,""required"":true},""apiSecret"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Remedy AR,xsoar,BMC Software,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,RemoteAccess v2,xsoar,Axis Communications,"Plain(additional_password, credentials) — OPTIONAL(Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""additional_password""},{""type"":""Plain"",""name"":""credentials""}],""config"":""CHOICE(OAuth2JWT, Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""additional_password"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":""OAuth2JWT detected in code but no explicit params""}",,,,,,,,,,,,
,ResecurityMonitoring,partner,Resecurity,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Respond_Analyst,partner,Google,Plain(token) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""token""}],""config"":""REQUIRED(Plain)"",""params"":{""token"":{""type"":""Plain"",""xsoar_type"":4,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Retarus Secure Email Gateway,xsoar,Retarus GmbH,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain) + OPTIONAL(OAuth2ClientCreds)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":""OAuth2ClientCreds detected in code but no explicit params""}",,,,,,,,,,,,
