assignee,Integration Name,Support Level,Provider,Auth Class,Auth Detail,auth params set,script inputs,params required for test,generated manifest,wrote code,validations passed,unit tests passed,param parity test passes,requires auth parity test,auth parity test passes,code reviewed,code merged
,DecyfirEventCollector,partner,CYFIRMA,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Deep Instinct,partner,Deep Instinct,APIKey(apikey) — REQUIRED(APIKey),"{""auth_types"":[{""type"":""APIKey"",""name"":""apikey""}],""config"":""REQUIRED(APIKey)"",""params"":{""apikey"":{""type"":""APIKey"",""xsoar_type"":4,""required"":true}},""notes"":null}",,,,,,,,,,,,
,DeepInstinct v3,partner,Deep Instinct,APIKey(apikey) — REQUIRED(APIKey),"{""auth_types"":[{""type"":""APIKey"",""name"":""apikey""}],""config"":""REQUIRED(APIKey)"",""params"":{""apikey"":{""type"":""APIKey"",""xsoar_type"":4,""required"":true}},""notes"":null}",,,,,,,,,,,,
,DeHashed,xsoar,DeHashed,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,DelineaDSV,partner,Delinea,"Plain(client_id, client_secret) — REQUIRED(Plain, Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""client_id""},{""type"":""Plain"",""name"":""client_secret""}],""config"":""REQUIRED(Plain, Plain) + OPTIONAL(OAuth2ClientCreds)"",""params"":{""client_id"":{""type"":""Plain"",""xsoar_type"":0,""required"":true},""client_secret"":{""type"":""Plain"",""xsoar_type"":4,""required"":true}},""notes"":""OAuth2ClientCreds detected in code but no explicit params""}",,,,,,,,,,,,
,DelineaSS,partner,Delinea,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain) + OPTIONAL(OAuth2ClientCreds)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":""OAuth2ClientCreds detected in code but no explicit params""}",,,,,,,,,,,,
,Dell Secureworks,partner,Sophos,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Demisto Lock,xsoar,Palo Alto Networks,NoneRequired,"{""auth_types"":[],""config"":""NONE"",""params"":{},""notes"":null}",,,,,,,,,,,,
,Demisto REST API,xsoar,Palo Alto Networks,"APIKey(apikey) | Plain(creds_apikey) — CHOICE(APIKey, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""apikey""},{""type"":""Plain"",""name"":""creds_apikey""}],""config"":""CHOICE(APIKey, Plain)"",""params"":{""creds_apikey"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""apikey"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false}},""notes"":null}",,,,,,,,,,,,
,Devo_v2,partner,Devo Technology,"Plain(reader_oauth_token, writer_credentials) — REQUIRED(Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""reader_oauth_token""},{""type"":""Plain"",""name"":""writer_credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""reader_oauth_token"":{""type"":""Plain"",""xsoar_type"":4,""required"":true},""writer_credentials"":{""type"":""Plain"",""xsoar_type"":4,""required"":false}},""notes"":null}",,,,,,,,,,,,
,DHS Feed v2,xsoar,DHS,"Plain(certificate, key) — REQUIRED(Plain, Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""certificate""},{""type"":""Plain"",""name"":""key""}],""config"":""REQUIRED(Plain, Plain)"",""params"":{""key"":{""type"":""Plain"",""xsoar_type"":9,""required"":true},""certificate"":{""type"":""Plain"",""xsoar_type"":12,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Digital Defense FrontlineVM,partner,Fortra,APIKey(apiToken) — REQUIRED(APIKey),"{""auth_types"":[{""type"":""APIKey"",""name"":""apiToken""}],""config"":""REQUIRED(APIKey)"",""params"":{""apiToken"":{""type"":""APIKey"",""xsoar_type"":4,""required"":true}},""notes"":null}",,,,,,,,,,,,
